Name,Description,50% missing,Type,Nesting,Categories,Encoding,Data.coding,Number.of.categories,Processing,Observations,Flags
46,Hand grip strength (left),0,Discrete,0,Physical measures,,,,,,
46,Hand grip strength (left),0,Discrete,0,Physical measures,Without any negatives,,,,,
47,Hand grip strength (right),0,Discrete,0,Physical measures,,,,,,
47,Hand grip strength (right),0,Discrete,0,Physical measures,Without any negatives,,,,,
48,Waist circumference,0,Continuous,0,Physical measures,,,,,,
49,Hip circumference,0,Continuous,0,Physical measures,,,,,,
50,Standing height,0,Continuous,0,Physical measures,,,,,,
77,Heel bone ultrasound T-score,1,Continuous,0,Physical measures,,,,,,
78,Heel bone mineral density (BMD) T-score,0,Continuous,0,Physical measures,,,,,,
102,Pulse rate,0,Discrete,0,Physical measures,,,,,,
102,Pulse rate,0,Discrete,0,Physical measures,Without any negatives,,,,,
129,Place of birth in UK - north co-ordite,0,Nominal,0,Early life factors,Postscode processed to create coordites on grid at resolution 1km,,many,Remove,,
130,Place of birth in UK - east co-ordite,0,Nominal,0,Early life factors,Postscode processed to create coordites on grid at resolution 1km,,many,Remove,,
189,Townsend deprivation index at recruitment,0,Continuous,0,Early life factors,,,,,,
399,Number of incorrect matches in round,0,Discrete,0,Cognitive function,,,,,,
399,Number of incorrect matches in round,0,Discrete,0,Cognitive function,Without any negatives,,,,,
767,Length of working week for main job,0,Discrete,Employment,Employment - Sociodemographics,,,,,,
777,Frequency of travelling from home to job workplace,0,Discrete,Employment,Employment - Sociodemographics,,,,,,
796,Distance between home and job workplace,0,Discrete,Employment,Employment - Sociodemographics,,,,,,
806,Job involves mainly walking or standing ,0,Ordinal,Employment,Employment - Sociodemographics,,,,,,
806,Job involves mainly walking or standing ,0,Ordinal,Employment,Employment - Sociodemographics,Negative values are missing,100301,4,Decrement by 1 and remove negatives,,
816,Job involves heavy manual or physical work ,0,Ordinal,Employment,Employment - Sociodemographics,,,,,,
816,Job involves heavy manual or physical work ,0,Ordinal,Employment,Employment - Sociodemographics,Negative values are missing,100301,4,Decrement by 1 and remove negatives,,
826,Job involves shift work,0,Ordinal,Employment,Employment - Sociodemographics,,,,,,
826,Job involves shift work,0,Ordinal,Employment,Employment - Sociodemographics,Negative values are missing,100301,4,Decrement by 1 and remove negatives,,
845,Age completed full time education,0,Discrete,0,Education - Sociodemographics,,,,,,
864,Number of days/week walked 10+ minutes,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
874,Duration of walks,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
884,Number of days/week of moderate physical activity 10+ minutes,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
894,Duration of moderate activity,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
904,Number of days/week of vigorous physical activity 10+ minutes,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
914,Duration of vigorous activity,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
924,Usual walking pace,0,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
924,Usual walking pace,0,Ordinal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100313,4,Make missing 0 and remove negatives,,
943,Frequency of stair climbing in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
943,Frequency of stair climbing in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100314,6,Remove negatives,,
971,Frequency of walking for pleasure in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
971,Frequency of walking for pleasure in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100317,6,Decrement by 1 and remove negatives,,
981,Duration walking for pleasure,0,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
981,Duration walking for pleasure,0,Ordinal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100318,7,Decrement by 1 and remove negatives,,
991,Frequency of strenuous sports in last 4 weeks,1,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
991,Frequency of strenuous sports in last 4 weeks,1,Ordinal,6164,Physical activity - Lifestyle and enrironment,Negative values are missing,100317,6,Decrement by 1 and remove negatives,,
1001,Duration of strenuous sports,1,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
1001,Duration of strenuous sports,1,Ordinal,6164,Physical activity - Lifestyle and enrironment,Negative values are missing,100318,7,Decrement by 1 and remove negatives,,
1011,Frequency of light DIY in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
1011,Frequency of light DIY in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100317,6,Decrement by 1 and remove negatives,,
1021,Duration of light DIY in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
1021,Duration of light DIY in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100318,7,Decrement by 1 and remove negatives,,
1050,Time spend outdoors in summer,0,Discrete,0,Sun exposure - Lifestyle and environment,,,,,,
1060,Time spend outdoors in winter,0,Discrete,0,Sun exposure - Lifestyle and environment,,,,,,
1070,Time spent watching television (TV),0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
1080,Time spent using computer,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
1090,Time spent driving,0,Discrete,0,Physical activity - Lifestyle and enrironment,,,,,,
1100,Drive faster than motorway speed limit,0,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
1100,Drive faster than motorway speed limit,0,Ordinal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100334,5,"Make 5 ,issing, decrement 1 and remove negatives",,
1160,Sleep Duration,0,Discrete,0,Sleep - Lifestyle and environment,,,,,,
1170,Getting up in the morning,0,Ordinal,0,Sleep - Lifestyle and environment,,,,,,
1170,Getting up in the morning,0,Ordinal,0,Sleep - Lifestyle and environment,Negative values are missing,100341,4,Decrement by 1 and remove negatives,,
1180,Morning/evening person,0,Ordinal,0,Sleep - Lifestyle and environment,,,,,,
1180,Morning/evening person,0,Ordinal,0,Sleep - Lifestyle and environment,Negative values are missing,100342,4,Decrement by 1 and remove negatives,,
1190,p during day,0,Ordinal,0,Sleep - Lifestyle and environment,,,,,,
1190,p during day,0,Ordinal,0,Sleep - Lifestyle and environment,Negative values are missing,100343,3,Decrement by 1 and remove negatives,,
1200,Sleeplessness / insomnia,0,Ordinal,0,Sleep - Lifestyle and environment,,,,,,
1200,Sleeplessness / insomnia,0,Ordinal,0,Sleep - Lifestyle and environment,Negative values are missing,100343,3,Decrement by 1 and remove negatives,,
1210,Snoring,0,Ordinal,0,Sleep - Lifestyle and environment,,,,,,
1210,Snoring,0,Ordinal,0,Sleep - Lifestyle and environment,Negative values are missing,100345,2,Change to Binary after removing negatives,,
1220,Daytime dozing / sleeping (rcolepsy),0,Ordinal,0,Sleep - Lifestyle and environment,,,,,,
1220,Daytime dozing / sleeping (rcolepsy),0,Ordinal,0,Sleep - Lifestyle and environment,Negative values are missing,100346,2,Remove negatives,,
1239,Current tobacco smoking,0,Ordinal,0,Smoking - Lifestyle and environment,,,,,,
1239,Current tobacco smoking,0,Ordinal,0,Smoking - Lifestyle and environment,Negative values are missing,100346,3,Swap 1 with 2 and remove negatives,,
1249,Past tobacco smoking,0,Ordinal,Smoking,Smoking - Lifestyle and environment,,,,,,
1249,Past tobacco smoking,0,Ordinal,Smoking,Smoking - Lifestyle and environment,Negative values are missing,100348,4,Remove negatives,,
1259,Smoking/smokers in household,0,Ordinal,0,Smoking - Lifestyle and environment,,,,,,
1259,Smoking/smokers in household,0,Ordinal,0,Smoking - Lifestyle and environment,Negative values are missing,100370,3,Remove negatives,,
1279,Exposure to tobacco smoke outside home,0,Discrete,Smoking,Smoking - Lifestyle and environment,,,,,,
1289,Cooked vegetable intake,0,Discrete,0,Diet - Lifestyle and environment,,,,,,
1299,Salad / raw vegetable intake,0,Discrete,0,Diet - Lifestyle and environment,,,,,,
1309,Fresh fruit intake,0,Discrete,0,Diet - Lifestyle and environment,,,,,,
1319,Dried fruit intake,0,Discrete,0,Diet - Lifestyle and environment,,,,,,
1329,Oily fish intake,0,Ordinal,0,Diet - Lifestyle and environment,,,,,,
1329,Oily fish intake,0,Ordinal,0,Diet - Lifestyle and environment,Negative values are missing,100377,6,Remove negatives,,
1339,Non-oily fish intake,0,Ordinal,0,Diet - Lifestyle and environment,,,,,,
1339,Non-oily fish intake,0,Ordinal,0,Diet - Lifestyle and environment,Negative values are missing,100377,6,Remove negatives,,
1349,Processed meat intake,0,Ordinal,0,Diet - Lifestyle and environment,,,,,,
1349,Processed meat intake,0,Ordinal,0,Diet - Lifestyle and environment,Negative values are missing,100377,6,Remove negatives,,
1359,Poultry intake,0,Ordinal,0,Diet - Lifestyle and environment,,,,,,
1359,Poultry intake,0,Ordinal,0,Diet - Lifestyle and environment,Negative values are missing,100377,6,Remove negatives,,
1369,Beef intake,0,Ordinal,0,Diet - Lifestyle and environment,,,,,,
1369,Beef intake,0,Ordinal,0,Diet - Lifestyle and environment,Negative values are missing,100377,6,Remove negatives,,
1379,Lamb/mutton intake,0,Ordinal,0,Diet - Lifestyle and environment,,,,,,
1379,Lamb/mutton intake,0,Ordinal,0,Diet - Lifestyle and environment,Negative values are missing,100377,6,Remove negatives,,
1389,Pork intake,0,Ordinal,0,Diet - Lifestyle and environment,,,,,,
1389,Pork intake,0,Ordinal,0,Diet - Lifestyle and environment,Negative values are missing,100377,6,Remove negatives,,
1408,Cheese intake,0,Ordinal,0,Diet - Lifestyle and environment,,,,,,
1408,Cheese intake,0,Ordinal,0,Diet - Lifestyle and environment,Negative values are missing,100377,6,Remove negatives,,
1418,Milk type used,0,Nominal,0,Diet - Lifestyle and environment,Negative values are missing,100387,6,make dummies (6=no milk),Interaction with quantity?,
1428,Spread type,0,Nominal,0,Diet - Lifestyle and environment,Negative values are missing,100388,4,make dummies (0=no spread),Interaction with quantity?,
1438,Bread intake,0,Discrete,0,Diet - Lifestyle and environment,"""-1"" and ""-3"" are missing, ""-10""=less than one slice per week",,-,,,
1448,Bread type,0,Nominal,1438,Diet - Lifestyle and environment,Negative values are missing,100391,4,make dummies (4=other type of bread),Interaction with quantity?,
1458,Cereal intake,0,Discrete,0,Diet - Lifestyle and environment,,,,,,
1468,Cereal type,0,Nominal,1458,Diet - Lifestyle and environment,Negative values are missing,100393,5,make dummies (5=other),Interaction with quantity?,
1478,Salt added to food,0,Ordinal,0,Diet - Lifestyle and environment,,,,,,
1478,Salt added to food,0,Ordinal,0,Diet - Lifestyle and environment,Negative values are missing,100394,4,Decrement by 1 and remove negatives,,
1488,Teak intake,0,Discrete,0,Diet - Lifestyle and environment,,,,,,
1498,Coffee intake,0,Discrete,0,Diet - Lifestyle and environment,,,,,,
1508,Coffee type,0,Nominal,1498,Diet - Lifestyle and environment,Negative values are missing,100397,4,make dummies (4=other),Interaction with quantity?,
1518,Hot drink temperature,0,Ordinal,0,Diet - Lifestyle and environment,,,,,,
1518,Hot drink temperature,0,Ordinal,0,Diet - Lifestyle and environment,Encoding: -3=prefer not to answer and -2 = do not drink hot drinks,100398,4,"Assing 0 to -2, remove -3",,
1528,Water intake,0,Discrete,0,Diet - Lifestyle and environment,,,,,,
1538,Major dietary changes in the last 5 years,0,Nominal,0,Diet - Lifestyle and environment,Negative values are missing,100400,3,remove? Or make dummies (0=no),,
1548,Variation in diet,0,Ordinal,0,Diet - Lifestyle and environment,,,,,,
1548,Variation in diet,0,Ordinal,0,Diet - Lifestyle and environment,Negative values are missing,100401,3,Decrement by 1 and remove negatives,,
1558,Alcohol intake frequency,0,Ordinal,0,Alcohol - Lifestyle and environment,,,,,,
1558,Alcohol intake frequency,0,Ordinal,0,Alcohol - Lifestyle and environment,Negative values are missing,100402,6,Decrement by 1 and remove negatives,,
1568,Average weekly red wine intake,0,Discrete,0,Alcohol - Lifestyle and environment,,,,,,
1578,Average weekly champagne plut white wine intake,0,Discrete,0,Alcohol - Lifestyle and environment,,,,,,
1588,Average weekly beer plus cider intake,0,Discrete,0,Alcohol - Lifestyle and environment,,,,,,
1598,Average weekly spirits intake,0,Discrete,0,Alcohol - Lifestyle and environment,,,,,,
1608,Average weekly fortified wine intake,0,Discrete,0,Alcohol - Lifestyle and environment,,,,,,
1618,Alcohol usually taken with meals,0,Nominal,0,Alcohol - Lifestyle and environment,"""-1"" and ""-3"" are missing, ""-6""=it varies",,3,"make dummies, or switch order and make Ordinal",,
1618,Alcohol usually taken with meals,0,Nominal,0,Alcohol - Lifestyle and environment,"""-1"" and ""-3"" are missing, ""-6""=it varies",100416,3,"make dummies, or switch order and make Ordinal","Yes=1, No=0, -6=it varies",
1628,Alcohol intake versus 10 years previously,0,Ordinal,0,Alcohol - Lifestyle and environment,,,,,,
1628,Alcohol intake versus 10 years previously,0,Ordinal,0,Alcohol - Lifestyle and environment,Negative values are missing,100417,3,Decrement by 1 and remove negatives,,
1677,Breastfed as a baby,0,Binary,0,Early life factors,,,,,,
1687,Comparitive body size at age 10,0,Nominal,0,Early life factors,,,,,,
1687,Comparitive body size at age 10,0,Nominal,0,Early life factors,Negative values are missing,100428,3,"make dummies, or switch order and make Ordinal","Thinner=1, Plumper=2, About average=3",
1697,Comparitive height size at age 10,0,Nominal,0,Early life factors,,,,,,
1697,Comparitive height size at age 10,0,Nominal,0,Early life factors,Negative values are missing,100429,3,"make dummies, or switch order and make Ordinal","Shorter=1, Taller=2, About average=3",
1707,Handedness (chirality/laterality),0,Nominal,0,Early life factors,,,,,,
1707,Handedness (chirality/laterality),0,Nominal,0,Early life factors,Negative values are missing,100430,3,make dummies (3=use both equally),,
1717,Skin colour,0,Ordinal,0,Sun exposure - Lifestyle and environment,,,,,,
1717,Skin colour,0,Ordinal,0,Sun exposure - Lifestyle and environment,Negative values are missing,100431,6,Decrement by 1 and remove negatives,,
1727,Ease of skin tanning,0,Ordinal,0,Sun exposure - Lifestyle and environment,,,,,,
1727,Ease of skin tanning,0,Ordinal,0,Sun exposure - Lifestyle and environment,Negative values are missing,100432,4,Decrement by 1 and remove negatives,,
1737,Childhood sunburn occasions,0,Discrete,0,Sun exposure - Lifestyle and environment,,,,,,
1747,"Hair colour (tural, before greying)",0,Nominal,0,Sun exposure - Lifestyle and environment,,,,,,
1747,"Hair colour (tural, before greying)",0,Ordinal,0,Sun exposure - Lifestyle and environment,"6=missing, Negative values are missing",100434,5,,maybe this should be Nominal,
1757,Facial ageing,0,Nominal,0,Sun exposure - Lifestyle and environment,,,,,,
1757,Facial ageing,0,Nominal,0,Sun exposure - Lifestyle and environment,Negative values are missing,100435,3,make dummies or switch order and make Ordinal,"Younger than you are =1, Older than you are=2, About your age=3",
1787,Materl smoking around birth,0,Binary,0,Early life factors,,,,,,
2267,Use of sun/uv protection,0,Nominal,0,Sun exposure - Lifestyle and environment,,,,,,
2267,Use of sun/uv protection,0,Nominal,0,Sun exposure - Lifestyle and environment,"We treat ""5"" as missing, Negative values are missing",100536,5,5= Do not go out in sunshine (DISCUSS),,
2277,Other eye problems,0,Binary,0,Eyesight - Health and medical history,,,,,,
2306,Weight change compared with 1 year ago,0,Nominal,0,General Health - Health and medical history,,,,,,
2306,Weight change compared with 1 year ago,0,Nominal,0,General Health - Health and medical history,Negative values are missing,100540,3,make dummies or switch order and make Ordinal,"No change= 0, Gained weight = 2, Lost weight=3",
2624,Frequency of heavy DIY in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
2624,Frequency of heavy DIY in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100317,6,Decrement by 1 and remove negatives,,
2634,Duration of heavy DIY,0,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
2634,Duration of heavy DIY,0,Ordinal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100318,7,Decrement by 1 and remove negatives,,
2644,"Light smokers, at least 100 smokes in lifetime",1,Binary,0,Smoking - Lifestyle and environment,,,,,,
2654,Non-butter spread type details,0,Nominal,0,Diet - Lifestyle and environment,,,,,,
2654,Non-butter spread type details,0,Nominal,1428,Diet - Lifestyle and environment,Negative values are missing,100389,7,"make dummies, join with 1428?????",,
2664,Reason for reducing amount of alcohol drunk,0,Nominal,0,Alcohol - Lifestyle and environment,,,,,,
2664,Reason for reducing amount of alcohol drunk,0,Nominal,1558,Alcohol - Lifestyle and environment,Negative values are missing,100418,5,remove? Make dummies (5=other reason),,
2867,Age started smoking in former smokers,1,Discrete,Smoking,Smoking - Lifestyle and environment,,,,,,
2877,Type of tobacco previously smoked,1,Nominal,Smoking,Smoking - Lifestyle and environment,,,,,,
2877,Type of tobacco previously smoked,1,Nominal,Smoking,Smoking - Lifestyle and environment,Negative values are missing,100351,3,Make dummies,,
2887,Number of cigarettes previously smoked,1,Discrete,Smoking,Smoking - Lifestyle and environment,,,,,,
2897,Age stopped smoking,1,Discrete,Smoking,Smoking - Lifestyle and environment,,,,,,
2907,Ever stopped smoking for 6+ months,1,Binary,Smoking,Smoking - Lifestyle and environment,,,,,,
2926,Number of unsuccessful stop-smoking attempts,1,Discrete,Smoking,Smoking - Lifestyle and environment,,,,,,
2936,Likelihood of resuming smoking,1,Ordinal,Smoking,Smoking - Lifestyle and environment,,,,,,
2936,Likelihood of resuming smoking,1,Ordinal,Smoking (2907 and 1249),Smoking - Lifestyle and environment,Negative values are missing,100369,4,Decrement by 1 and remove negatives,,
3062,Forced vital capacity (FVC),0,Continuous,0,Spirometry - Physical measures,,,,,,
3063,Forced expiratory volume in 1-second (FEV1),0,Continuous,0,Spirometry - Physical measures,,,,,,
3064,Peak expiratory flow (PEF),0,Discrete,0,Spirometry - Physical measures,,,,,,
3637,Frequency of other exercises in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
3637,Frequency of other exercises in last 4 weeks,0,Ordinal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100317,6,Decrement by 1 and remove negatives,,
3647,Duration of other exercises,0,Ordinal,0,Physical activity - Lifestyle and enrironment,,,,,,
3647,Duration of other exercises,0,Ordinal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100318,7,Decrement by 1 and remove negatives,,
4079,Diastolic blood pressure,0,Discrete,0,Blood pressure - Physical measures,,,,,,
4080,Systolic blood pressure,0,Discrete,0,Blood pressure - Physical measures,,,,,,
4106,Heel bone mineral density (BMD) T-score automated (left),0,Continuous,0,Bone-densitometry of heel - Physical measures,,,,,,
4125,Heel bone mineral density (BMD) T-score manual (left),0,Continuous,0,Bone-densitometry of heel - Physical measures,,,,,,
4194,Pulse rate,0,Discrete,0,Physical measures,,,,,,
4407,Average monthly red wine intake,1,Discrete,0,Alcohol - Lifestyle and environment,,,,,,
4418,Average monthly champagne plut white wine intake,1,Discrete,0,Alcohol - Lifestyle and environment,,,,,,
4429,Average monthly beer plus cider intake,1,Discrete,0,Alcohol - Lifestyle and environment,,,,,,
4440,Average monthly spirits intake,1,Discrete,0,Alcohol - Lifestyle and environment,,,,,,
4451,Average monthly fortified wine intake,1,Discrete,0,Alcohol - Lifestyle and environment,,,,,,
4825,Noisy workplace,0,Nominal,0,Hearing - Health and medical history,,,,,,
4825,Noisy workplace,0,Nominal,2247,Hearing - Health and medical history,Negative values are missing,100637,3,"Make Ordinal, change numbers ","No=0,Yes for more than 5 years=11, yes for around 1-5 years =12, yes for less than a years=13",
4836,Loud music exposure frequency,0,Nominal,0,Hearing - Health and medical history,,,,,,
4836,Loud music exposure frequency,0,Nominal,2247,Hearing - Health and medical history,Negative values are missing,100637,3,"Make Ordinal, change numbers ","No=0,Yes for more than 5 years=11, yes for around 1-5 years =12, yes for less than a years=13",
6138,Qualifications,0,Nominal,0,Education - Sociodemographics,,,,,,
6138,Qualifications,0,Nominal,0,Education - Sociodemographics,Negative values are missing,100305,6,"Make Ordinal, change numbers","College=1,A levles=2,O levels=3,CSE=4,NVQ or HND=5, other proff qualifications=6",
6142,Current employment status,0,Nominal,0,Employment - Sociodemographics,,,,,,
6142,Current employment status,0,Nominal,0,Employment - Sociodemographics,Negative values are missing,100295,7,Make Dummies,,
6143,Transport type for commuting to job workplace,0,Nominal,0,Employment - Sociodemographics,,,,,,
6143,Transport type for commuting to job workplace,0,Nominal,0,Employment - Sociodemographics,Negative values are missing,100299,4,Make dummies,,
6144,"Never eat eggs, dairy, wheat, sugar",0,Nominal,0,Diet - Lifestyle and environment,,,,,,
6144,"Never eat eggs, dairy, wheat, sugar",0,Nominal,0,Diet - Lifestyle and environment,Negative values are missing,100385,5,"Merge 5 with the rest and make dummies, i.e. 5= 1 , 1, 1, 1 for dummies",I eat all of the above=5,
6157,Why stopped smoking,1,Nominal,Smoking,Smoking - Lifestyle and environment,,,,,,
6157,Why stopped smoking,1,Nominal,Smoking,Smoking - Lifestyle and environment,Negative values are missing,100361,4,make dummies,"None of the above = -7, treat as missing values",
6162,Types of transport used (excluding work),0,Nominal,0,Physical activity - Lifestyle and enrironment,,,,,,
6162,Types of transport used (excluding work),0,Nominal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100299,4,make dummies,"None of the above = -7, treat as missing values",
6164,Types of physical activity in last 4 weeks,0,Nominal,0,Physical activity - Lifestyle and enrironment,,,,,,
6164,Types of physical activity in last 4 weeks,0,Nominal,0,Physical activity - Lifestyle and enrironment,Negative values are missing,100316,5,make dummies,"None of the above = -7, treat as missing values",
12673,Heart rate during PWA,0,Discrete,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12674,Systolic brachial blood pressure during PWA,0,Discrete,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12675,Diastolic brachial blood pressure during PWA,0,Discrete,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12676,Peripheral pulse pressure during PWA,0,Discrete,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12677,Central systolic blood pressure during PWA,0,Discrete,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12678,Central pulse pressure during PWA,0,Discrete,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12679,Number of beats in waveform average for PWA,0,Continuous,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12680,Central augmentation pressure during PWA,0,Continuous,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12681,Augmentation index for PWA,0,Continuous,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12682,Cardiac output during PWA,0,Continuous,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12683,End systolic pressure during PWA,0,Continuous,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12684,End systolic pressure index during PWA,0,Continuous,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12685,Total peripheral resistance during PWA,0,Continuous,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12686,Stroke volume during PWA,0,Integer,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12687,Mean arterial pressure during PWA,0,Integer,0,Pulse wave alysis - Heart MRI - Imaging,,,,,,
12702,Cardiac index during PWA,0,Continuous,0,Heart MRI,,,,,Partly derived from 12682,
20015,Sitting height,0,Integer,0,Physical measures,,,,,,
20016,Fluid intelligence score,0,Integer,0,Cognitive function,,,,,Incorporates several different scores,
20018,Prospective memory result,0,Ordinal,0,Cognitive function,,,,,,
20018,Prospective memory result,0,Ordinal,0,Cognitive function,Nested,18,3,None,,Review
20022,Birth weight,0,Continuous,0,Early life factors,,,,,,
20023,Mean time to correctly identify matches,0,Integer,0,Cognitive function,,,,,"Related to fields 404, 10147",
20082,Duration of questionire,0,Integer,0,Diet questionire performance,,,,,"Related fields: 20082, 105010, 105030",
20084,Vitamin and/or mineral supplement use,1,Nominal,104670,Vitamin/mineral supplements yesterday,,,,,Encoding implies N == None,
20084,Vitamin and/or mineral supplement use,1,Nominal,104670,Vitamin/mineral supplements yesterday,Each vitamin is some value,74,21,"make dummies, missing values are zero except for missing values to 104670",Encoding implies N == None,
20087,Types of spreads used on bread/crackers,1,Nominal,101300,Bread/pasta/rice yesterday,,,,,Encoding implies N == None,
20087,Types of spreads used on bread/crackers,1,Nominal,101300,Bread/pasta/rice yesterday,Each spread is some value,77,37,"make dummies, missing values are zero except for missing values to 101300",Encoding implies N == None,
20088,Types of spreads/sauces consumed,1,Nominal,103310,Spreads/sauces/cooking oils yesterday,,,,,Encoding implies N == None,
